"c_hlevel"|"c_fullname"|"c_name"|"c_synonym_cd"|"c_visualattributes"|"c_totalnum"|"c_basecode"|"c_metadataxml"|"c_facttablecolumn"|"c_tablename"|"c_columnname"|"c_columndatatype"|"c_operator"|"c_dimcode"|"c_comment"|"c_tooltip"|"m_applied_path"|"update_date"|"download_date"|"import_date"|"sourcesystem_cd"|"valuetype_cd"|"m_exclusion_cd"|"c_path"|"c_symbol"
"5"|"\ACT\Procedures\ICD9\V2_2018AA\A18090800\A8352133\A19384078\A8377783\"|"00 Procedures And Interventions, Not Elsewhere Classified"|"N"|"FA"||"ICD9CM:00"|" "|"concept_cd"|"concept_dimension"|"concept_path"|"T"|"LIKE"|"\ACT\Procedures\ICD9\V2_2018AA\A18090800\A8352133\A19384078\A8377783\"|"ACT Version:V4.0_Alpha, UMLS Version:2020AB, Term Type:HT, Valid:2004AA-2020AB, CUI:SEE AUI"|"Procedures ICD9\Procedures and inter...here Classified\Procedures and inter...here Classified\"|"@"|"2021-03-10"|"2021-03-10"|"2021-03-10"|"ACT"||||
"4"|"\ACT\Procedures\ICD9\V2_2018AA\A18090800\A8352133\A19384078\"|"00-00.99 Procedures And Interventions, Not Elsewhere Classified"|"N"|"FA"||"ICD9CM:00-00.99"|" "|"concept_cd"|"concept_dimension"|"concept_path"|"T"|"LIKE"|"\ACT\Procedures\ICD9\V2_2018AA\A18090800\A8352133\A19384078\"|"ACT Version:V4.0_Alpha, UMLS Version:2020AB, Term Type:HT, Valid:2010AB-2020AB, CUI:SEE AUI"|"Procedures ICD9\Procedures and inter...here Classified\"|"@"|"2021-03-10"|"2021-03-10"|"2021-03-10"|"ACT"||||
"6"|"\ACT\Procedures\ICD9\V2_2018AA\A18090800\A8352133\A19384078\A8377783\A8365779\"|"00.0 Therapeutic Ultrasound"|"N"|"FA"||"ICD9CM:00.0"|" "|"concept_cd"|"concept_dimension"|"concept_path"|"T"|"LIKE"|"\ACT\Procedures\ICD9\V2_2018AA\A18090800\A8352133\A19384078\A8377783\A8365779\"|"ACT Version:V4.0_Alpha, UMLS Version:2020AB, Term Type:HT, Valid:2004AA-2020AB, CUI:SEE AUI"|"Procedures ICD9\Procedures and inter...here Classified\Procedures and inter...here Classified\Therapeutic ultrasound\"|"@"|"2021-03-10"|"2021-03-10"|"2021-03-10"|"ACT"||||
"7"|"\ACT\Procedures\ICD9\V2_2018AA\A18090800\A8352133\A19384078\A8377783\A8365779\A8377890\"|"00.01 Therapeutic Ultrasound Of Vessels Of Head And Neck"|"N"|"LA"||"ICD9CM:00.01"|" "|"concept_cd"|"concept_dimension"|"concept_path"|"T"|"LIKE"|"\ACT\Procedures\ICD9\V2_2018AA\A18090800\A8352133\A19384078\A8377783\A8365779\A8377890\"|"ACT Version:V4.0_Alpha, UMLS Version:2020AB, Term Type:PT, Valid:2004AA-2020AB, CUI:SEE AUI"|"Procedures ICD9\Procedures and inter...here Classified\Procedures and inter...here Classified\Therapeutic ultrasound\Therapeutic ultrasou...f head and neck\"|"@"|"2021-03-10"|"2021-03-10"|"2021-03-10"|"ACT"||||
"7"|"\ACT\Procedures\ICD9\V2_2018AA\A18090800\A8352133\A19384078\A8377783\A8365779\A8377888\"|"00.02 Therapeutic Ultrasound Of Heart"|"N"|"LA"||"ICD9CM:00.02"|" "|"concept_cd"|"concept_dimension"|"concept_path"|"T"|"LIKE"|"\ACT\Procedures\ICD9\V2_2018AA\A18090800\A8352133\A19384078\A8377783\A8365779\A8377888\"|"ACT Version:V4.0_Alpha, UMLS Version:2020AB, Term Type:PT, Valid:2004AA-2020AB, CUI:SEE AUI"|"Procedures ICD9\Procedures and inter...here Classified\Procedures and inter...here Classified\Therapeutic ultrasound\Therapeutic ultrasou...asound of heart\"|"@"|"2021-03-10"|"2021-03-10"|"2021-03-10"|"ACT"||||
"7"|"\ACT\Procedures\ICD9\V2_2018AA\A18090800\A8352133\A19384078\A8377783\A8365779\A8377889\"|"00.03 Therapeutic Ultrasound Of Peripheral Vascular Vessels"|"N"|"LA"||"ICD9CM:00.03"|" "|"concept_cd"|"concept_dimension"|"concept_path"|"T"|"LIKE"|"\ACT\Procedures\ICD9\V2_2018AA\A18090800\A8352133\A19384078\A8377783\A8365779\A8377889\"|"ACT Version:V4.0_Alpha, UMLS Version:2020AB, Term Type:PT, Valid:2004AA-2020AB, CUI:SEE AUI"|"Procedures ICD9\Procedures and inter...here Classified\Procedures and inter...here Classified\Therapeutic ultrasound\Therapeutic ultrasou...ascular vessels\"|"@"|"2021-03-10"|"2021-03-10"|"2021-03-10"|"ACT"||||
"7"|"\ACT\Procedures\ICD9\V2_2018AA\A18090800\A8352133\A19384078\A8377783\A8365779\A8377763\"|"00.09 Other Therapeutic Ultrasound"|"N"|"LA"||"ICD9CM:00.09"|" "|"concept_cd"|"concept_dimension"|"concept_path"|"T"|"LIKE"|"\ACT\Procedures\ICD9\V2_2018AA\A18090800\A8352133\A19384078\A8377783\A8365779\A8377763\"|"ACT Version:V4.0_Alpha, UMLS Version:2020AB, Term Type:PT, Valid:2004AA-2020AB, CUI:SEE AUI"|"Procedures ICD9\Procedures and inter...here Classified\Procedures and inter...here Classified\Therapeutic ultrasound\Other therapeutic ul...utic ultrasound\"|"@"|"2021-03-10"|"2021-03-10"|"2021-03-10"|"ACT"||||
"5"|"\ACT\Procedures\ICD9\V2_2018AA\A18090800\A8352133\A19384078\A8377771\"|"00.1 Pharmaceuticals"|"N"|"FA"||"ICD9CM:00.1"|" "|"concept_cd"|"concept_dimension"|"concept_path"|"T"|"LIKE"|"\ACT\Procedures\ICD9\V2_2018AA\A18090800\A8352133\A19384078\A8377771\"|"ACT Version:V4.0_Alpha, UMLS Version:2020AB, Term Type:HT, Valid:2004AA-2020AB, CUI:SEE AUI"|"Procedures ICD9\Procedures and inter...here Classified\Pharmaceuticals\"|"@"|"2021-03-10"|"2021-03-10"|"2021-03-10"|"ACT"||||
"6"|"\ACT\Procedures\ICD9\V2_2018AA\A18090800\A8352133\A19384078\A8377771\A8377667\"|"00.10 Implantation Of Chemotherapeutic Agent"|"N"|"LA"||"ICD9CM:00.10"|" "|"concept_cd"|"concept_dimension"|"concept_path"|"T"|"LIKE"|"\ACT\Procedures\ICD9\V2_2018AA\A18090800\A8352133\A19384078\A8377771\A8377667\"|"ACT Version:V4.0_Alpha, UMLS Version:2020AB, Term Type:PT, Valid:2004AA-2020AB, CUI:SEE AUI"|"Procedures ICD9\Procedures and inter...here Classified\Pharmaceuticals\Implantation of chem...erapeutic agent\"|"@"|"2021-03-10"|"2021-03-10"|"2021-03-10"|"ACT"||||
"6"|"\ACT\Procedures\ICD9\V2_2018AA\A18090800\A8352133\A19384078\A8377771\A8377673\"|"00.11 Infusion Of Drotrecogin Alfa (Activated)"|"N"|"LA"||"ICD9CM:00.11"|" "|"concept_cd"|"concept_dimension"|"concept_path"|"T"|"LIKE"|"\ACT\Procedures\ICD9\V2_2018AA\A18090800\A8352133\A19384078\A8377771\A8377673\"|"ACT Version:V4.0_Alpha, UMLS Version:2020AB, Term Type:PT, Valid:2004AA-2020AB, CUI:SEE AUI"|"Procedures ICD9\Procedures and inter...here Classified\Pharmaceuticals\Infusion of drotreco...lfa (activated)\"|"@"|"2021-03-10"|"2021-03-10"|"2021-03-10"|"ACT"||||
